iter	Logloss
0	0.6826312522
1	0.6775871776
2	0.6726592065
3	0.6686916434
4	0.6647953249
5	0.6613152194
6	0.658839078
7	0.657666705
8	0.6555832755
9	0.6533669383
10	0.6513987956
11	0.6496760729
12	0.6476821397
13	0.6450348712
14	0.643688052
15	0.6416702203
16	0.6398419026
17	0.6390069336
18	0.6371240784
19	0.6361328499
20	0.6350945293
21	0.6335172735
22	0.6324945871
23	0.6308699318
24	0.629836936
25	0.6272629405
26	0.6254856866
27	0.6237916372
28	0.6224166613
29	0.6212714076
30	0.6203548922
31	0.6195673577
32	0.6172034779
33	0.6156662278
34	0.614510431
35	0.6132981744
36	0.6121017743
37	0.6100915006
38	0.6093450769
39	0.6081621337
40	0.6070542425
41	0.6059668277
42	0.6049310711
43	0.6037100683
44	0.6017792711
45	0.6011231916
46	0.6001841365
47	0.5987927469
48	0.5979446633
49	0.5971669622
50	0.5958747047
51	0.5940287176
52	0.593137246
53	0.5921202225
54	0.5907834667
55	0.5894631615
56	0.5883377102
57	0.5869859644
58	0.5856998337
59	0.5847787502
60	0.5835060188
61	0.582296341
62	0.5814846244
63	0.5796814717
64	0.5781726394
65	0.5774360035
66	0.5765124451
67	0.5756499505
68	0.5743199697
69	0.5734214543
70	0.5726226441
71	0.5718457759
72	0.5707535577
73	0.5696437632
74	0.5687809534
75	0.5679922395
76	0.5670165856
77	0.5658646081
78	0.5647043577
79	0.5635926978
80	0.5630434156
81	0.5620060412
82	0.5614399967
83	0.5607523369
84	0.5598509597
85	0.5590759416
86	0.5580351718
87	0.5569215878
88	0.5558181934
89	0.5550975102
90	0.5541257577
91	0.5533970863
92	0.55257969
93	0.5515699888
94	0.5508761215
95	0.5500310546
96	0.5490451991
97	0.5478261619
98	0.5467086404
99	0.545769035
