iter	Passed	Remaining
0	176	17471
1	202	9944
2	228	7379
3	253	6076
4	277	5272
5	306	4794
6	334	4448
7	362	4169
8	387	3915
9	417	3754
10	446	3614
11	474	3483
12	506	3391
13	535	3287
14	562	3187
15	584	3069
16	608	2971
17	628	2863
18	653	2785
19	674	2699
20	696	2621
21	721	2559
22	752	2518
23	775	2457
24	796	2389
25	821	2336
26	843	2279
27	867	2230
28	888	2174
29	909	2122
30	933	2077
31	958	2035
32	980	1990
33	1003	1948
34	1025	1904
35	1047	1861
36	1068	1820
37	1092	1781
38	1114	1743
39	1141	1712
40	1162	1673
41	1184	1635
42	1204	1597
43	1228	1563
44	1250	1528
45	1273	1495
46	1296	1461
47	1319	1429
48	1341	1395
49	1362	1362
50	1388	1334
51	1413	1305
52	1437	1274
53	1463	1246
54	1486	1216
55	1509	1186
56	1534	1157
57	1558	1128
58	1583	1100
59	1607	1071
60	1629	1041
61	1651	1012
62	1673	982
63	1694	953
64	1717	924
65	1738	895
66	1758	866
67	1781	838
68	1806	811
69	1832	785
70	1857	758
71	1881	731
72	1906	705
73	1932	679
74	1957	652
75	1979	625
76	2002	598
77	2025	571
78	2046	544
79	2071	517
80	2092	490
81	2114	464
82	2136	437
83	2158	411
84	2179	384
85	2200	358
86	2224	332
87	2245	306
88	2269	280
89	2289	254
90	2310	228
91	2331	202
92	2353	177
93	2378	151
94	2401	126
95	2423	100
96	2444	75
97	2468	50
98	2491	25
99	2511	0
