iter	Logloss
0	0.6910531945
1	0.6889589245
2	0.6872311397
3	0.6857200164
4	0.6841100851
5	0.6825820852
6	0.6811302718
7	0.6797379711
8	0.6782763142
9	0.6771070696
10	0.6757745819
11	0.6745873522
12	0.6732426951
13	0.6721310777
14	0.6709834445
15	0.670135975
16	0.6690714183
17	0.6680882053
18	0.6671226219
19	0.6662921364
20	0.6652643474
21	0.6643208163
22	0.6635319357
23	0.662781711
24	0.6620208212
25	0.6613032975
26	0.6606338666
27	0.6599754098
28	0.6593987521
29	0.6586462457
30	0.6580545944
31	0.6573635238
32	0.6568246752
33	0.6562564019
34	0.6556959374
35	0.6551660191
36	0.6546544381
37	0.6537894401
38	0.6532934424
39	0.6526017776
40	0.6521721554
41	0.6516005391
42	0.6509358433
43	0.6505932494
44	0.6501875499
45	0.6493666937
46	0.6486916214
47	0.6482746722
48	0.6478286486
49	0.6473746935
50	0.6469949875
51	0.6467076984
52	0.646228362
53	0.6454964124
54	0.6450503079
55	0.6444454852
56	0.6441057857
57	0.6437297102
58	0.6434111219
59	0.6431455222
60	0.6425656075
61	0.642266566
62	0.6414470602
63	0.6411447974
64	0.6407304278
65	0.6402058387
66	0.6397651915
67	0.6394089255
68	0.6390788174
69	0.6386482373
70	0.6381000319
71	0.637715724
72	0.6373491316
73	0.6368286176
74	0.6364301135
75	0.6360575533
76	0.6357279488
77	0.6353658868
78	0.6351401876
79	0.6349184926
80	0.6347098536
81	0.6342064774
82	0.6338363783
83	0.6335525081
84	0.6331273153
85	0.6327695292
86	0.6322658289
87	0.6317581823
88	0.631595272
89	0.6311992669
90	0.6308943524
91	0.6305990707
92	0.6303251456
93	0.6299307719
94	0.6295871053
95	0.6292228394
96	0.628775288
97	0.6282553539
98	0.627913115
99	0.627516206
100	0.6272371324
101	0.6270476996
102	0.6267416439
103	0.6262862827
104	0.6260368701
105	0.6255649507
106	0.6252532451
107	0.6249791885
108	0.6244367696
109	0.6241489211
110	0.6235707972
111	0.6232410957
112	0.6230406183
113	0.622828649
114	0.6224560799
115	0.622313963
116	0.6219978692
117	0.6214293073
118	0.6212291736
119	0.6210334928
120	0.6207287963
121	0.6204228244
122	0.6202053984
123	0.619779867
124	0.6195841353
125	0.6194025347
126	0.6191030377
127	0.6186273187
128	0.6180807503
129	0.6177432327
130	0.6175632484
131	0.6173425995
132	0.6171914796
133	0.616708762
134	0.6164813907
135	0.6160803309
136	0.6158786262
137	0.6156724788
138	0.6153519603
139	0.6151260395
140	0.6148775979
141	0.6146939804
142	0.6144036083
143	0.6138402517
144	0.6133066703
145	0.6128528746
146	0.6124980205
147	0.6123531568
148	0.6121674849
149	0.6119101307
150	0.6115560121
151	0.6113666864
152	0.6110922391
153	0.6108611253
154	0.6105935754
155	0.6102044051
156	0.6099578982
157	0.6096617382
158	0.609515216
159	0.609327785
160	0.6091318213
161	0.6088819109
162	0.6086441683
163	0.6084299602
164	0.6081547583
165	0.6079175823
166	0.6077548116
167	0.6072435734
168	0.6070508528
169	0.6068968235
170	0.6067106368
171	0.6064992565
172	0.60623382
173	0.6060742508
174	0.6059092309
175	0.6056618421
176	0.6051862405
177	0.6048986767
178	0.6045829987
179	0.6044748505
180	0.604314377
181	0.6041396189
182	0.6039607455
183	0.6035484329
184	0.6033778982
185	0.6032165011
186	0.602943059
187	0.6026155529
188	0.6024098859
189	0.6019216952
190	0.6016391844
191	0.6014362163
192	0.6007579236
193	0.6003466248
194	0.5998685087
195	0.5996045283
196	0.5992132955
197	0.5990456271
198	0.5988595905
199	0.5985024882
