iter	Passed	Remaining
0	20	4021
1	38	3826
2	58	3841
3	78	3868
4	99	3885
5	117	3815
6	136	3767
7	153	3682
8	172	3656
9	189	3609
10	208	3581
11	225	3535
12	245	3529
13	263	3496
14	281	3467
15	299	3439
16	317	3416
17	336	3401
18	353	3370
19	370	3336
20	388	3307
21	405	3283
22	423	3259
23	440	3230
24	458	3208
25	476	3187
26	494	3171
27	512	3146
28	528	3118
29	546	3095
30	563	3072
31	580	3047
32	598	3028
33	615	3006
34	634	2991
35	652	2970
36	669	2950
37	686	2927
38	703	2905
39	721	2884
40	738	2864
41	756	2847
42	773	2824
43	790	2801
44	806	2779
45	824	2759
46	841	2739
47	858	2717
48	876	2700
49	894	2684
50	911	2662
51	928	2641
52	945	2623
53	963	2604
54	981	2586
55	998	2567
56	1015	2547
57	1032	2528
58	1049	2507
59	1066	2489
60	1085	2472
61	1102	2453
62	1120	2435
63	1137	2416
64	1154	2397
65	1171	2379
66	1189	2361
67	1206	2341
68	1223	2323
69	1243	2309
70	1260	2290
71	1277	2271
72	1295	2254
73	1313	2236
74	1330	2218
75	1348	2200
76	1366	2182
77	1383	2164
78	1400	2144
79	1417	2125
80	1433	2106
81	1451	2088
82	1468	2069
83	1486	2052
84	1503	2033
85	1520	2015
86	1537	1997
87	1555	1980
88	1572	1961
89	1591	1944
90	1607	1925
91	1624	1907
92	1642	1889
93	1660	1872
94	1677	1853
95	1694	1835
96	1712	1818
97	1730	1800
98	1746	1781
99	1763	1763
100	1780	1745
101	1797	1727
102	1814	1708
103	1831	1690
104	1847	1671
105	1864	1653
106	1881	1635
107	1899	1617
108	1916	1600
109	1933	1582
110	1951	1564
111	1967	1545
112	1985	1528
113	2003	1511
114	2020	1493
115	2037	1475
116	2054	1457
117	2073	1440
118	2090	1422
119	2106	1404
120	2124	1386
121	2140	1368
122	2157	1350
123	2175	1333
124	2192	1315
125	2208	1297
126	2225	1279
127	2243	1262
128	2261	1244
129	2277	1226
130	2294	1208
131	2311	1190
132	2327	1172
133	2345	1155
134	2362	1137
135	2380	1120
136	2398	1102
137	2415	1085
138	2432	1067
139	2450	1050
140	2467	1032
141	2484	1014
142	2502	997
143	2519	979
144	2537	962
145	2555	945
146	2572	927
147	2590	910
148	2607	892
149	2624	874
150	2640	856
151	2657	839
152	2673	821
153	2690	803
154	2708	786
155	2725	768
156	2742	751
157	2759	733
158	2777	716
159	2794	698
160	2812	681
161	2829	663
162	2846	646
163	2864	628
164	2881	611
165	2898	593
166	2915	576
167	2933	558
168	2950	541
169	2968	523
170	2985	506
171	3003	488
172	3020	471
173	3038	454
174	3055	436
175	3073	419
176	3091	401
177	3107	384
178	3125	366
179	3142	349
180	3158	331
181	3177	314
182	3195	296
183	3212	279
184	3230	261
185	3247	244
186	3264	226
187	3281	209
188	3300	192
189	3317	174
190	3335	157
191	3352	139
192	3370	122
193	3387	104
194	3405	87
195	3423	69
196	3440	52
197	3457	34
198	3475	17
199	3492	0
