iter	Logloss
0	0.6918712287
1	0.6906614191
2	0.6895903858
3	0.6884532862
4	0.6872887977
5	0.6864428343
6	0.6857127391
7	0.6848609421
8	0.6840712238
9	0.6833284679
10	0.6826122491
11	0.681819859
12	0.6811816133
13	0.6804406789
14	0.6797765842
15	0.6791575256
16	0.6786026559
17	0.6780579498
18	0.6772907264
19	0.6768019609
20	0.6763683508
21	0.675964148
22	0.6754895375
23	0.6750622817
24	0.6746050936
25	0.6741641837
26	0.6737104955
27	0.6732839511
28	0.6727859512
29	0.6724064018
30	0.671999285
31	0.6715591044
32	0.671218007
33	0.6708666095
34	0.6705739721
35	0.6702843118
36	0.669901409
37	0.6695735552
38	0.6691540397
39	0.6688742187
40	0.6686111028
41	0.668358255
42	0.6681196381
43	0.6678192759
44	0.6675068182
45	0.6672951789
46	0.6669627682
47	0.6665132874
48	0.6661345859
49	0.6657202501
50	0.665440082
51	0.6652210907
52	0.6649869791
53	0.6647234006
54	0.6644700426
55	0.6642295727
56	0.6639490906
57	0.6637187775
58	0.6634144699
59	0.6632227932
60	0.6627644956
61	0.6625216767
62	0.6621225913
63	0.661873685
64	0.6616666659
65	0.661459289
66	0.6611797895
67	0.6610086684
68	0.6607861673
69	0.6606102179
70	0.6603405197
71	0.6599678368
72	0.6597242753
73	0.6594072287
74	0.6592320035
75	0.6590263479
76	0.6588277624
77	0.658648081
78	0.6582852367
79	0.6580465722
80	0.6578335928
81	0.6574637454
82	0.6573250931
83	0.6571377716
84	0.6569852669
85	0.656854536
86	0.65668506
87	0.6563166677
88	0.656091604
89	0.6559622684
90	0.6558270919
91	0.6556716889
92	0.6554888338
93	0.6552377257
94	0.6549747061
95	0.6548220384
96	0.6546506217
97	0.6545168175
98	0.6543314105
99	0.6540693204
100	0.6539094839
101	0.6537797797
102	0.653548255
103	0.6532552024
104	0.6531311464
105	0.6529091853
106	0.6527237098
107	0.6525246753
108	0.6523686607
109	0.6522765241
110	0.6520667009
111	0.6519211273
112	0.6516546252
113	0.6515243833
114	0.6513921542
115	0.6512503159
116	0.6511165014
117	0.6509642498
118	0.6508481781
119	0.6506814613
120	0.6505008386
121	0.6502694299
122	0.6499874969
123	0.6497848358
124	0.6496834235
125	0.6495389494
126	0.6493453779
127	0.6491379347
128	0.6489172133
129	0.6487822932
130	0.6486674568
131	0.6485719696
132	0.6484223839
133	0.6483149204
134	0.6481698296
135	0.6480421599
136	0.647890238
137	0.6476779397
138	0.6475946159
139	0.6474951995
140	0.6472594258
141	0.6470988054
142	0.6469446084
143	0.6468333726
144	0.6465495304
145	0.6463958363
146	0.6462717303
147	0.6461297149
148	0.6459964856
149	0.6457064188
150	0.6455950489
151	0.6455198025
152	0.645272993
153	0.6450830199
154	0.6449538642
155	0.6448444142
156	0.6447325362
157	0.6446330478
158	0.6444921087
159	0.6443651618
160	0.6442888269
161	0.6441657115
162	0.6439528143
163	0.6438571536
164	0.6435925733
165	0.6435056246
166	0.6433660689
167	0.6432606541
168	0.6431610561
169	0.6430629304
170	0.6428936317
171	0.6427381576
172	0.6426555673
173	0.6423809416
174	0.6422241975
175	0.6421591133
176	0.6420225245
177	0.6418905844
178	0.6418251712
179	0.6417169881
180	0.6415791591
181	0.6414110917
182	0.6413186333
183	0.6410904123
184	0.6409814477
185	0.6408899096
186	0.6407999104
187	0.6405797132
188	0.6405061821
189	0.6404134787
190	0.6403241514
191	0.6401145445
192	0.6400378974
193	0.6399109909
194	0.6398058596
195	0.6396663368
196	0.6395959356
197	0.6394331168
198	0.639187365
199	0.639008485
200	0.6387880299
201	0.6386930379
202	0.6384519036
203	0.6383061516
204	0.638209417
205	0.6381053343
206	0.6378966869
207	0.6377639321
208	0.6375120103
209	0.6372884038
210	0.6372244297
211	0.6371179502
212	0.6370276891
213	0.636963731
214	0.6368571216
215	0.6367711525
216	0.6366152031
217	0.6365283001
218	0.6364547821
219	0.6363237308
220	0.6362381844
221	0.6361682395
222	0.6359673321
223	0.635898488
224	0.6357643766
225	0.6355770037
226	0.6354126611
227	0.6351907598
228	0.6350574337
229	0.6349631679
230	0.634793385
231	0.6347168175
232	0.6346035051
233	0.6344371894
234	0.6343725101
235	0.6342525604
236	0.6341809194
237	0.6340945944
238	0.6339311081
239	0.6336949084
240	0.6335389134
241	0.6334294649
242	0.6333429297
243	0.6332172476
244	0.6331191795
245	0.6330456868
246	0.6329476086
247	0.6328457885
248	0.6327445908
249	0.6325933809
250	0.6324886015
251	0.6323888657
252	0.6322278944
253	0.6320834662
254	0.6319048388
255	0.631723054
256	0.631622996
257	0.6314003046
258	0.6312748465
259	0.631185291
260	0.6310622066
261	0.6308834573
262	0.6307872242
263	0.6306656425
264	0.6305997803
265	0.6304569191
266	0.6303498191
267	0.6301784449
268	0.6300150962
269	0.6297993711
270	0.629643618
271	0.6295692541
272	0.6294191793
273	0.6292408126
274	0.6290800113
275	0.6289044071
276	0.6288255733
277	0.6287557882
278	0.6286008552
279	0.6284004578
280	0.6282775689
281	0.628137321
282	0.6280256936
283	0.6278346707
284	0.627746288
285	0.6275986255
286	0.6274946302
287	0.6274094945
288	0.6273322841
289	0.627221879
290	0.627034784
291	0.626880493
292	0.6267349299
293	0.6266711313
294	0.6265365447
295	0.6263886805
296	0.6262711644
297	0.6261858579
298	0.626112905
299	0.6260112054
