iter	Passed	Remaining
0	12	3825
1	25	3765
2	36	3581
3	47	3489
4	59	3494
5	69	3418
6	82	3438
7	93	3406
8	106	3435
9	118	3428
10	130	3415
11	139	3357
12	150	3328
13	163	3331
14	177	3370
15	189	3371
16	201	3358
17	213	3350
18	225	3336
19	235	3301
20	247	3287
21	258	3268
22	272	3282
23	285	3288
24	301	3321
25	320	3373
26	336	3402
27	348	3389
28	362	3388
29	375	3375
30	386	3350
31	397	3332
32	409	3309
33	420	3289
34	430	3262
35	442	3242
36	452	3214
37	463	3194
38	474	3178
39	486	3165
40	497	3143
41	508	3124
42	519	3105
43	529	3082
44	540	3064
45	551	3044
46	563	3031
47	574	3017
48	587	3007
49	598	2993
50	612	2988
51	624	2979
52	638	2974
53	650	2961
54	663	2953
55	676	2947
56	688	2934
57	699	2918
58	710	2902
59	721	2884
60	733	2874
61	743	2854
62	753	2836
63	763	2816
64	774	2801
65	785	2784
66	796	2768
67	807	2754
68	818	2740
69	829	2724
70	841	2714
71	853	2702
72	864	2686
73	874	2670
74	886	2659
75	898	2647
76	909	2633
77	920	2620
78	932	2607
79	943	2593
80	954	2580
81	966	2568
82	976	2552
83	988	2541
84	1000	2530
85	1010	2514
86	1021	2501
87	1032	2487
88	1043	2474
89	1054	2461
90	1065	2446
91	1075	2432
92	1087	2420
93	1098	2406
94	1109	2394
95	1120	2381
96	1131	2368
97	1143	2357
98	1154	2344
99	1167	2335
100	1177	2320
101	1189	2308
102	1201	2298
103	1215	2290
104	1229	2284
105	1244	2276
106	1256	2267
107	1272	2262
108	1293	2266
109	1314	2271
110	1337	2278
111	1358	2280
112	1377	2280
113	1390	2268
114	1403	2257
115	1416	2247
116	1433	2242
117	1448	2233
118	1461	2222
119	1475	2212
120	1489	2203
121	1504	2195
122	1518	2185
123	1531	2174
124	1546	2164
125	1560	2154
126	1576	2147
127	1591	2138
128	1604	2127
129	1619	2117
130	1635	2109
131	1651	2101
132	1666	2092
133	1680	2081
134	1694	2071
135	1709	2061
136	1726	2053
137	1740	2043
138	1755	2033
139	1771	2024
140	1785	2013
141	1800	2002
142	1813	1991
143	1827	1979
144	1841	1968
145	1855	1956
146	1870	1946
147	1884	1935
148	1899	1924
149	1913	1913
150	1930	1904
151	1943	1892
152	1956	1879
153	1966	1864
154	1977	1849
155	1989	1836
156	2000	1822
157	2012	1808
158	2023	1794
159	2033	1779
160	2044	1765
161	2055	1751
162	2066	1737
163	2077	1722
164	2088	1708
165	2098	1693
166	2108	1679
167	2120	1665
168	2131	1652
169	2143	1639
170	2155	1625
171	2166	1612
172	2177	1598
173	2188	1584
174	2199	1570
175	2211	1557
176	2222	1544
177	2231	1529
178	2243	1516
179	2256	1504
180	2271	1493
181	2283	1480
182	2296	1468
183	2307	1454
184	2318	1440
185	2328	1427
186	2339	1413
187	2349	1399
188	2361	1386
189	2371	1373
190	2382	1359
191	2393	1346
192	2405	1333
193	2415	1319
194	2426	1306
195	2437	1293
196	2447	1279
197	2458	1266
198	2469	1253
199	2479	1239
200	2490	1226
201	2501	1213
202	2512	1200
203	2523	1187
204	2535	1175
205	2546	1162
206	2557	1149
207	2569	1136
208	2579	1123
209	2591	1110
210	2602	1097
211	2612	1084
212	2624	1072
213	2637	1059
214	2649	1047
215	2661	1034
216	2672	1022
217	2684	1009
218	2695	996
219	2706	984
220	2718	971
221	2728	958
222	2739	945
223	2749	932
224	2760	920
225	2771	907
226	2782	894
227	2794	882
228	2805	869
229	2816	857
230	2827	844
231	2838	832
232	2849	819
233	2860	806
234	2871	794
235	2882	781
236	2892	768
237	2902	756
238	2914	743
239	2925	731
240	2936	718
241	2947	706
242	2957	693
243	2969	681
244	2981	669
245	2992	656
246	3003	644
247	3015	632
248	3025	619
249	3036	607
250	3048	595
251	3058	582
252	3069	570
253	3080	557
254	3091	545
255	3102	533
256	3113	520
257	3124	508
258	3135	496
259	3147	484
260	3158	471
261	3169	459
262	3180	447
263	3192	435
264	3202	423
265	3213	410
266	3224	398
267	3235	386
268	3246	374
269	3257	361
270	3271	350
271	3283	337
272	3296	326
273	3307	313
274	3317	301
275	3329	289
276	3340	277
277	3351	265
278	3362	253
279	3374	241
280	3384	228
281	3395	216
282	3407	204
283	3417	192
284	3428	180
285	3439	168
286	3452	156
287	3463	144
288	3474	132
289	3485	120
290	3497	108
291	3508	96
292	3519	84
293	3529	72
294	3541	60
295	3551	47
296	3563	35
297	3574	23
298	3585	11
299	3596	0
