iter	Logloss
0	0.6929948
1	0.6928545678
2	0.692721443
3	0.6925881499
4	0.6924506577
5	0.6923215455
6	0.6921937054
7	0.6920624491
8	0.6919188814
9	0.6917897804
10	0.6916489247
11	0.6915285432
12	0.6914055183
13	0.6912889218
14	0.6911540377
15	0.6910381582
16	0.6909097415
17	0.6908020529
18	0.6906904598
19	0.6905768968
20	0.6904636244
21	0.6903594199
22	0.6902590625
23	0.6901730756
24	0.69006375
25	0.6899534223
26	0.6898465433
27	0.6897401264
28	0.689647154
29	0.6895370426
30	0.6894181454
31	0.6893167618
32	0.6892084853
33	0.6891022399
34	0.6890086377
35	0.6889140782
36	0.6888081107
37	0.6887224149
38	0.6886345878
39	0.6885394684
40	0.6884619233
41	0.6883786556
42	0.6882864784
43	0.6881978661
44	0.6881112489
45	0.6880260977
46	0.6879311452
47	0.6878375346
48	0.6877518959
49	0.6876724403
50	0.6875805367
51	0.6874911747
52	0.6874208168
53	0.6873358893
54	0.6872697073
55	0.6872021424
56	0.6871238556
57	0.6870334788
58	0.6869461013
59	0.6868813729
60	0.6867976026
61	0.6867244629
62	0.6866420615
63	0.6865739589
64	0.6864971221
65	0.6864270528
66	0.6863650684
67	0.6862879659
68	0.6862193911
69	0.6861523231
70	0.6860783055
71	0.6860062528
72	0.6859422176
73	0.6858745562
74	0.6857960577
75	0.685717469
76	0.6856376115
77	0.6855813439
78	0.685515641
79	0.6854492584
80	0.6853701685
81	0.6852860707
82	0.685215623
83	0.6851485077
84	0.6850688336
85	0.685005585
86	0.6849612147
87	0.6849039055
88	0.6848415622
89	0.6847696609
90	0.6846942035
91	0.6846476565
92	0.6845910758
93	0.6845343888
94	0.6844746665
95	0.6844151794
96	0.6843479337
97	0.6842903937
98	0.6842193111
99	0.6841505616
100	0.6840882717
101	0.6840221932
102	0.6839408418
103	0.6838716853
104	0.6837996284
105	0.6837456003
106	0.683688661
107	0.6836232961
108	0.6835673907
109	0.6835106535
110	0.6834489454
111	0.6833723199
112	0.6833193738
113	0.6832532111
114	0.6832013578
115	0.6831515553
116	0.6830997716
117	0.6830547158
118	0.6830061977
119	0.6829450204
120	0.6828934725
121	0.6828556148
122	0.6828034394
123	0.6827531141
124	0.6827139152
125	0.6826500518
126	0.6826077727
127	0.6825616594
128	0.6825037377
129	0.6824392776
130	0.6823962656
131	0.6823423324
132	0.6822862235
133	0.6822196059
134	0.6821551694
135	0.6820994474
136	0.6820475233
137	0.6819962798
138	0.6819583753
139	0.6819174767
140	0.6818784411
141	0.6818348124
142	0.6817934042
143	0.6817305449
144	0.6816768956
145	0.6816202739
146	0.6815705278
147	0.681530288
148	0.6814845386
149	0.6814342827
150	0.6813891781
151	0.6813483221
152	0.6812724921
153	0.6812189899
154	0.6811818491
155	0.6811349132
156	0.6810784733
157	0.681007329
158	0.6809610158
159	0.6809296376
160	0.6808815109
161	0.6808156283
162	0.6807577979
163	0.6806996032
164	0.6806397159
165	0.6805973818
166	0.6805251641
167	0.6804827006
168	0.6804167732
169	0.680377786
170	0.680341491
171	0.6802896061
172	0.6802223432
173	0.6801603874
174	0.680125703
175	0.6800812113
176	0.6800151595
177	0.679986618
178	0.6799424417
179	0.6798967233
180	0.6798629661
181	0.6798155939
182	0.6797823734
183	0.6797509307
184	0.6797121191
185	0.6796496147
186	0.6795825531
187	0.6795297763
188	0.6794929977
189	0.6794626132
190	0.6794295655
191	0.6793835915
192	0.6793247707
193	0.6792750489
194	0.6792357257
195	0.6792022633
196	0.6791444656
197	0.6791001879
198	0.6790588976
199	0.6790278089
200	0.6789809016
201	0.6789359989
202	0.6788924457
203	0.6788603692
204	0.678827489
205	0.6787857575
206	0.6787356796
207	0.6786840064
208	0.6786400152
209	0.6785999018
210	0.6785498271
211	0.6785053615
212	0.6784549671
213	0.6784224087
214	0.6783834798
215	0.6783320537
216	0.6782831131
217	0.6782423041
218	0.6781975286
219	0.6781555116
220	0.6781073044
221	0.6780560244
222	0.6780150251
223	0.6779646208
224	0.6779232108
225	0.6778825676
226	0.6778322192
227	0.6777982817
228	0.6777506301
229	0.6777004339
230	0.677655023
231	0.6776083381
232	0.6775703406
233	0.6775396924
234	0.6775025937
235	0.6774697554
236	0.6774154995
237	0.6773752543
238	0.6773319123
239	0.6772976031
240	0.6772648392
241	0.6772377268
242	0.6771968102
243	0.6771406701
244	0.6771038468
245	0.6770591369
246	0.6770270693
247	0.6769804299
248	0.6769389635
249	0.6768992613
250	0.6768553128
251	0.6768101578
252	0.6767793186
253	0.6767452612
254	0.6767057786
255	0.6766642193
256	0.6766277916
257	0.6765930114
258	0.6765589953
259	0.6765100658
260	0.6764706324
261	0.6764383823
262	0.6763836129
263	0.676343196
264	0.6763129922
265	0.6762758796
266	0.6762311991
267	0.6762033466
268	0.6761781136
269	0.6761263643
270	0.676103709
271	0.6760705855
272	0.6760237165
273	0.6759895229
274	0.6759449083
275	0.6759231396
276	0.6758895739
277	0.6758483267
278	0.6758008092
279	0.6757577883
280	0.6757234662
281	0.6756981812
282	0.6756481429
283	0.6756120403
284	0.6755786628
285	0.6755570085
286	0.6755169658
287	0.6754533455
288	0.6754115651
289	0.6753761108
290	0.6753428307
291	0.6753131808
292	0.6752843581
293	0.6752466568
294	0.6752156608
295	0.6751633166
296	0.6751244733
297	0.6750975056
298	0.6750611715
299	0.6750258752
300	0.6749799079
301	0.6749517106
302	0.6749071577
303	0.6748847689
304	0.6748500336
305	0.6748144556
306	0.6747818119
307	0.6747515516
308	0.6747089215
309	0.6746844872
310	0.6746530949
311	0.6746303291
312	0.6745940378
313	0.6745513178
314	0.6745166738
315	0.6744965563
316	0.6744713749
317	0.6744394613
318	0.6744172973
319	0.6743876314
320	0.6743400737
321	0.6742976214
322	0.6742638828
323	0.6742204573
324	0.6741955416
325	0.6741667252
326	0.6741324825
327	0.6740974938
328	0.674071078
329	0.6740228233
330	0.6739763427
331	0.6739356671
332	0.6739037244
333	0.6738630198
334	0.6738343508
335	0.6737948143
336	0.6737473737
337	0.6737090137
338	0.6736671906
339	0.6736415525
340	0.6736123822
341	0.6735845006
342	0.6735431964
343	0.6735102124
344	0.6734882996
345	0.6734407154
346	0.6734071241
347	0.6733740703
348	0.6733484805
349	0.6733166055
350	0.6732712326
351	0.6732323262
352	0.6731989119
353	0.6731770015
354	0.673139979
355	0.6731117773
356	0.6730672802
357	0.6730389302
358	0.6730026286
359	0.6729785315
360	0.6729480178
361	0.672917864
362	0.672884771
363	0.6728597821
364	0.6728212859
365	0.6727699182
366	0.6727429985
367	0.6727023841
368	0.6726720172
369	0.6726431876
370	0.6726252103
371	0.6726047108
372	0.672556611
373	0.6725181584
374	0.6724879366
375	0.6724569398
376	0.6724219465
377	0.6723886485
378	0.6723472213
379	0.6723219292
380	0.6722915825
381	0.672265579
382	0.6722355836
383	0.6722024886
384	0.6721828874
385	0.6721507152
386	0.6721223
387	0.6720912223
388	0.672052032
389	0.6720249894
390	0.6720052716
391	0.6719809249
392	0.6719591011
393	0.6719298481
394	0.6719012611
395	0.6718743966
396	0.6718434635
397	0.6718165694
398	0.6717875276
399	0.6717541402
400	0.6717138986
401	0.6716883056
402	0.6716596873
403	0.6716295614
404	0.6716112612
405	0.6715927437
406	0.6715625468
407	0.6715292098
408	0.6715089588
409	0.6714815108
410	0.6714449652
411	0.6714177043
412	0.6713906926
413	0.6713570471
414	0.6713391593
415	0.6713123893
416	0.6712805614
417	0.6712572032
418	0.6712333231
419	0.6711945882
420	0.6711694714
421	0.6711475833
422	0.6711078017
423	0.6710811004
424	0.671055678
425	0.6710237448
426	0.6709936695
427	0.6709700761
428	0.670937063
429	0.6709107322
430	0.6708846225
431	0.6708586111
432	0.6708366543
433	0.670817282
434	0.6707969155
435	0.6707661161
436	0.6707481986
437	0.6707122983
438	0.6706855364
439	0.6706537768
440	0.6706260256
441	0.6705927949
442	0.6705686057
443	0.6705414667
444	0.6705161082
445	0.670484622
446	0.6704558516
447	0.670428614
448	0.6704001556
449	0.6703818693
450	0.6703567084
451	0.6703354558
452	0.6703130788
453	0.6702808697
454	0.6702562777
455	0.670219192
456	0.6702008219
457	0.6701636679
458	0.670139929
459	0.6701125413
460	0.6700759628
461	0.6700570137
462	0.6700152653
463	0.6699787208
464	0.6699420203
465	0.6699087135
466	0.669880493
467	0.6698505932
468	0.6698225484
469	0.6697944831
470	0.6697736748
471	0.6697409093
472	0.6697146497
473	0.6696841643
474	0.6696523285
475	0.6696265458
476	0.6695970231
477	0.6695587004
478	0.669542372
479	0.6695042664
480	0.6694812609
481	0.6694491313
482	0.6694171876
483	0.6693876672
484	0.6693586297
485	0.6693290148
486	0.6693015041
487	0.6692773074
488	0.6692548852
489	0.6692268312
490	0.6692077977
491	0.669186854
492	0.6691679804
493	0.6691475768
494	0.6691192658
495	0.6690819204
496	0.6690570118
497	0.6690427222
498	0.6690070011
499	0.668983587
