iter	Passed	Remaining
0	15	7923
1	30	7626
2	44	7402
3	59	7364
4	73	7298
5	88	7321
6	104	7337
7	119	7325
8	133	7278
9	148	7254
10	162	7220
11	175	7151
12	189	7101
13	204	7104
14	218	7073
15	233	7065
16	249	7078
17	264	7072
18	278	7038
19	293	7033
20	307	7023
21	322	7003
22	336	6984
23	350	6957
24	365	6944
25	379	6925
26	393	6900
27	409	6899
28	423	6878
29	438	6865
30	452	6845
31	467	6830
32	481	6810
33	496	6802
34	510	6780
35	525	6769
36	541	6771
37	554	6746
38	570	6741
39	584	6718
40	597	6690
41	611	6669
42	626	6659
43	640	6634
44	655	6628
45	669	6611
46	682	6579
47	697	6564
48	713	6566
49	727	6549
50	742	6535
51	756	6514
52	768	6485
53	782	6463
54	797	6450
55	810	6423
56	824	6409
57	839	6397
58	853	6380
59	865	6348
60	879	6328
61	894	6315
62	907	6294
63	922	6282
64	935	6261
65	948	6235
66	962	6220
67	976	6200
68	990	6184
69	1004	6168
70	1017	6145
71	1030	6128
72	1045	6115
73	1059	6100
74	1072	6074
75	1084	6047
76	1098	6032
77	1110	6007
78	1124	5994
79	1138	5979
80	1154	5970
81	1166	5944
82	1180	5931
83	1195	5918
84	1207	5894
85	1222	5886
86	1235	5866
87	1250	5854
88	1265	5843
89	1279	5830
90	1292	5808
91	1306	5793
92	1318	5770
93	1332	5753
94	1346	5741
95	1358	5718
96	1371	5697
97	1386	5688
98	1401	5676
99	1413	5654
100	1427	5637
101	1441	5626
102	1454	5606
103	1468	5592
104	1483	5580
105	1495	5559
106	1510	5546
107	1523	5531
108	1538	5518
109	1553	5506
110	1566	5491
111	1579	5471
112	1593	5456
113	1607	5443
114	1621	5428
115	1635	5412
116	1648	5395
117	1660	5376
118	1675	5363
119	1688	5347
120	1702	5333
121	1715	5315
122	1728	5299
123	1744	5289
124	1757	5271
125	1772	5261
126	1788	5251
127	1802	5239
128	1819	5232
129	1833	5219
130	1847	5204
131	1863	5195
132	1878	5183
133	1890	5164
134	1904	5147
135	1917	5131
136	1930	5116
137	1944	5100
138	1957	5083
139	1971	5069
140	1986	5056
141	1999	5040
142	2013	5025
143	2025	5007
144	2037	4988
145	2049	4969
146	2063	4954
147	2076	4939
148	2090	4924
149	2104	4909
150	2118	4896
151	2132	4882
152	2146	4867
153	2159	4852
154	2171	4834
155	2185	4818
156	2197	4801
157	2211	4787
158	2225	4772
159	2239	4758
160	2252	4742
161	2266	4728
162	2280	4714
163	2294	4700
164	2306	4682
165	2319	4666
166	2332	4651
167	2346	4636
168	2360	4622
169	2374	4608
170	2387	4593
171	2401	4579
172	2414	4563
173	2427	4548
174	2439	4530
175	2451	4513
176	2465	4498
177	2478	4484
178	2493	4470
179	2509	4460
180	2520	4443
181	2534	4429
182	2549	4417
183	2562	4401
184	2576	4386
185	2589	4371
186	2602	4356
187	2616	4341
188	2630	4328
189	2643	4313
190	2657	4298
191	2669	4281
192	2682	4266
193	2694	4249
194	2708	4235
195	2719	4218
196	2733	4203
