iter	Logloss
0	0.6928560727
1	0.6925804547
2	0.6923376017
3	0.6920811314
4	0.6918498509
5	0.6916035894
6	0.6913666403
7	0.6910857925
8	0.6908199465
9	0.6905783547
10	0.6903694728
11	0.6901604733
12	0.6899480607
13	0.6897803536
14	0.6895818024
15	0.6893852754
16	0.6891708909
17	0.6889854172
18	0.688785008
19	0.6886121296
20	0.6884308528
21	0.6882518891
22	0.6880865194
23	0.6879312845
24	0.6877693573
25	0.6876035454
26	0.6874455152
27	0.6872988536
28	0.6871017367
29	0.6869104756
30	0.6867162911
31	0.6865516278
32	0.6864087215
33	0.6862424616
34	0.6860738809
35	0.6859327457
36	0.6858079014
37	0.6856474072
38	0.6855267754
39	0.68541739
40	0.6852929247
41	0.6851604365
42	0.6850083201
43	0.6848936342
44	0.6847270297
45	0.6846060416
46	0.6844890971
47	0.6843615161
48	0.6842574461
49	0.6841264045
50	0.6840024237
51	0.6838598903
52	0.6837447722
53	0.6836440189
54	0.6835472677
55	0.6834228662
56	0.6833001775
57	0.6832031634
58	0.6831097074
59	0.6830239104
60	0.682876196
61	0.6827525012
62	0.6826518181
63	0.682566031
64	0.6824572635
65	0.6823372222
66	0.6822299443
67	0.6821454628
68	0.6820708935
69	0.6819806175
70	0.6818568659
71	0.6817048641
72	0.6815575664
73	0.6814925063
74	0.6813698879
75	0.6812799103
76	0.6812042792
77	0.6811337706
78	0.6810243131
79	0.680907282
80	0.6807952242
81	0.680681732
82	0.6805894868
83	0.6804964278
84	0.6804232547
85	0.680316579
86	0.6802196481
87	0.6800930413
88	0.6800019807
89	0.6798792486
90	0.6797669479
91	0.6796521259
92	0.6795504074
93	0.6794632639
94	0.679364043
95	0.6792901088
96	0.6792115508
97	0.6791350381
98	0.6790451093
99	0.6789590497
100	0.6788665791
101	0.6787808251
102	0.6786751447
103	0.6786228585
104	0.6785399284
105	0.6784446517
106	0.678372299
107	0.6782544479
108	0.6781642013
109	0.6780980184
110	0.6780234644
111	0.677956206
112	0.6778629203
113	0.6777942748
114	0.6776892255
115	0.6776153773
116	0.6775507277
117	0.6774759661
118	0.6774059939
119	0.6773329045
120	0.6772461446
121	0.6771699795
122	0.6771106444
123	0.6770305506
124	0.6769648413
125	0.6768951982
126	0.676822835
127	0.6767576573
128	0.6766831464
129	0.6766248765
130	0.6765683256
131	0.6764672099
132	0.676393246
133	0.6762914681
134	0.6762189816
135	0.6761383037
136	0.6760655539
137	0.6759775696
138	0.6758744227
139	0.6758215197
140	0.6757355386
141	0.6756792212
142	0.675630948
143	0.6755586056
144	0.6754793658
145	0.6753979743
146	0.6752830771
147	0.6752124742
148	0.675150477
149	0.6750723009
150	0.6749717655
151	0.6749027391
152	0.6748408797
153	0.6747698015
154	0.6747065918
155	0.674652067
156	0.6745927367
157	0.6745321372
158	0.6744322584
159	0.67434695
160	0.6742799896
161	0.6741909105
162	0.6741338207
163	0.674074174
164	0.6740055745
165	0.6739268955
166	0.6738626808
167	0.673804263
168	0.6737334144
169	0.6736624381
170	0.6736028389
171	0.6735038813
172	0.6734520556
173	0.6733916164
174	0.6733223509
175	0.6732447765
176	0.6731642794
177	0.6731161905
178	0.673047767
179	0.6729800302
180	0.6729008131
181	0.6728358916
182	0.6727856791
183	0.6727215259
184	0.6726690927
185	0.6725798209
186	0.6725192408
187	0.672453465
188	0.6724155528
189	0.6723651597
190	0.672310885
191	0.6722634872
192	0.6721912476
193	0.6720888146
194	0.6720263555
195	0.6719792406
196	0.6719201317
197	0.6718271085
198	0.6717770115
199	0.671736508
200	0.6716882067
201	0.6716374653
202	0.6716019735
203	0.6715255966
204	0.6714642242
205	0.671409404
206	0.6713553903
207	0.6713042706
208	0.6712505837
209	0.6711803624
210	0.6710864925
211	0.6709997477
212	0.6709201948
213	0.6708823554
214	0.6708352219
215	0.6707775705
216	0.6707125344
217	0.6706567665
218	0.6706039511
219	0.6705582167
220	0.6705158787
221	0.6704411584
222	0.6703975052
223	0.6703389145
224	0.6702883612
225	0.6702196357
226	0.6701916422
227	0.6700928451
228	0.6700324529
229	0.6699788042
230	0.6699220205
231	0.669848214
232	0.6697941513
233	0.6697337958
234	0.6696883632
235	0.6696133291
236	0.6695354104
237	0.6694729185
238	0.669392904
239	0.6693673346
240	0.6693207342
241	0.6692521415
242	0.6691755333
243	0.6691290111
244	0.6690895261
245	0.6690059176
246	0.66895979
247	0.6689126368
248	0.6688693436
249	0.6688241275
250	0.6687374207
251	0.6686802027
252	0.6686339653
253	0.6685830412
254	0.6685456789
255	0.6684970799
256	0.6684487639
257	0.6684001269
258	0.66835287
259	0.6682819508
260	0.6682480158
261	0.6682129522
262	0.6681342658
263	0.6680809926
264	0.6680253708
265	0.6679630864
266	0.6678735822
267	0.667825672
268	0.6677664765
269	0.6677272358
270	0.6676840321
271	0.667623881
272	0.6675738261
273	0.6675095411
274	0.6674716221
275	0.6674129448
276	0.6673675378
277	0.6673237902
278	0.6672429331
279	0.6671986801
280	0.6671370486
281	0.6670691174
282	0.6670412018
283	0.6670117751
284	0.666967303
285	0.6669298748
286	0.6668454501
287	0.6667886381
288	0.6667331512
289	0.6666689471
290	0.6666211121
291	0.6665906999
292	0.666546435
293	0.666518592
294	0.6664672263
295	0.6664181046
296	0.6663715602
297	0.6663179707
298	0.6662624123
299	0.6662016057
300	0.6661440743
301	0.6660865992
302	0.6660465724
303	0.665999598
