iter	Passed	Remaining
0	182	181879
1	213	106648
2	228	76043
3	243	60623
4	258	51371
5	272	45107
6	287	40843
7	304	37702
8	319	35208
9	335	33205
10	349	31458
11	365	30117
12	380	28909
13	395	27842
14	409	26890
15	423	26051
16	438	25340
17	452	24709
18	467	24141
19	483	23679
20	499	23298
21	515	22915
22	528	22429
23	543	22106
24	558	21775
25	573	21475
26	589	21233
27	604	20969
28	619	20731
29	634	20504
30	648	20262
31	660	19982
32	675	19786
33	689	19593
34	702	19360
35	715	19161
36	732	19052
37	746	18894
38	761	18753
39	774	18585
40	788	18439
41	804	18347
42	819	18231
43	833	18111
44	847	17990
45	863	17904
46	878	17815
47	891	17671
48	906	17597
49	921	17503
50	933	17375
51	947	17275
52	962	17190
53	974	17079
54	989	16994
55	1003	16910
56	1017	16834
57	1031	16748
58	1045	16668
59	1057	16574
60	1071	16489
61	1085	16426
62	1100	16368
63	1115	16310
64	1131	16281
65	1147	16238
66	1162	16183
67	1176	16129
68	1188	16034
69	1203	15983
70	1215	15910
71	1229	15844
72	1243	15790
73	1255	15714
74	1272	15697
75	1287	15647
76	1300	15586
77	1313	15523
78	1328	15492
79	1343	15448
80	1357	15401
81	1369	15337
82	1382	15278
83	1395	15218
84	1410	15186
85	1425	15149
86	1438	15093
87	1449	15025
88	1465	14998
89	1480	14973
90	1494	14932
91	1508	14887
92	1524	14863
93	1537	14814
94	1549	14761
95	1564	14730
96	1577	14682
97	1591	14651
98	1605	14615
99	1621	14595
100	1635	14554
101	1649	14523
102	1662	14479
103	1676	14446
104	1690	14406
105	1703	14365
106	1715	14313
107	1728	14272
108	1741	14231
109	1754	14198
110	1767	14159
111	1782	14129
112	1797	14106
113	1810	14069
114	1822	14027
115	1837	14002
116	1850	13966
117	1861	13917
118	1874	13878
119	1889	13857
120	1903	13831
121	1917	13802
122	1931	13769
123	1945	13744
124	1960	13726
125	1975	13699
126	1988	13667
127	2001	13636
128	2017	13620
129	2029	13584
130	2043	13556
131	2057	13530
132	2070	13499
133	2084	13473
134	2098	13442
135	2110	13408
136	2124	13381
137	2138	13356
138	2152	13334
139	2164	13295
140	2177	13268
141	2191	13239
142	2204	13213
143	2217	13182
144	2231	13157
145	2247	13144
146	2261	13120
147	2273	13090
148	2288	13070
149	2304	13058
150	2322	13059
151	2334	13026
152	2348	13001
